state,start_date_demo,start_date_bio,lag_days,max_backlog,backlog_date,bio_to_demo_ratio_end
Uttar Pradesh,2025-03-01,2025-03-01,0.0,487855.0,2025-03-01,1.5048
Andhra Pradesh,2025-03-01,2025-03-01,0.0,0.0,2025-03-01,2.3193
Gujarat,2025-03-01,2025-03-01,0.0,0.0,2025-03-01,2.3722
Rajasthan,2025-03-01,2025-03-01,0.0,421534.0,2025-03-01,1.9743
Karnataka,2025-03-01,2025-03-01,0.0,0.0,2025-03-01,2.1052
West Bengal,2025-03-01,2025-03-01,0.0,273059.0,2025-12-29,0.904
Telangana,2025-03-01,2025-03-01,0.0,69430.0,2025-03-01,1.4112
Odisha,2025-03-01,2025-03-01,0.0,0.0,2025-03-01,1.4797
Maharashtra,2025-03-01,2025-03-01,0.0,0.0,2025-03-01,2.4398
Kerala,2025-03-01,2025-03-01,0.0,0.0,2025-03-01,1.8654
Bihar,2025-03-01,2025-03-01,0.0,43624.0,2025-03-01,1.3457
Tamil Nadu,2025-03-01,2025-03-01,0.0,0.0,2025-03-01,2.7726
Madhya Pradesh,2025-03-01,2025-03-01,0.0,0.0,2025-03-01,2.8186
Assam,2025-03-01,2025-03-01,0.0,56752.0,2025-03-01,1.3357
Tripura,2025-03-01,2025-03-01,0.0,0.0,2025-03-01,1.3871
Arunachal Pradesh,2025-03-01,2025-03-01,0.0,0.0,2025-03-01,1.4086
Punjab,2025-03-01,2025-03-01,0.0,0.0,2025-03-01,2.748
Jharkhand,2025-03-01,2025-03-01,0.0,75470.0,2025-03-01,1.927
Delhi,2025-03-01,2025-03-01,0.0,22757.0,2025-03-01,1.3549
Chandigarh,2025-03-01,2025-03-01,0.0,4022.0,2025-05-01,1.3177
Chhattisgarh,2025-03-01,2025-03-01,0.0,40931.0,2025-03-01,1.8732
Jammu & Kashmir,2025-03-01,2025-03-01,0.0,0.0,2025-03-01,2.8498
Mizoram,2025-03-01,2025-03-01,0.0,0.0,2025-03-01,3.8561
Nagaland,2025-03-01,2025-03-01,0.0,0.0,2025-03-01,2.0021
Himachal Pradesh,2025-03-01,2025-03-01,0.0,0.0,2025-03-01,3.5268
Goa,2025-03-01,2025-03-01,0.0,0.0,2025-03-01,1.3304
Haryana,2025-03-01,2025-03-01,0.0,0.0,2025-03-01,2.0186
Meghalaya,2025-03-01,2025-03-01,0.0,79040.0,2025-10-29,0.5394
Uttarakhand,2025-03-01,2025-03-01,0.0,9596.0,2025-03-01,2.343
Manipur,2025-03-01,2025-03-01,0.0,38674.0,2025-12-29,0.8824
Dadra & Nagar Haveli And Daman & Diu,2025-03-01,2025-03-01,0.0,0.0,2025-03-01,3.738
Puducherry,2025-03-01,2025-03-01,0.0,0.0,2025-03-01,2.5088
Sikkim,2025-03-01,2025-03-01,0.0,7770.0,2025-12-29,0.7499
Ladakh,2025-03-01,2025-03-01,0.0,6342.0,2025-12-29,0.4808
Andaman & Nicobar Islands,2025-03-01,2025-03-01,0.0,0.0,2025-03-01,2.6361
Lakshadweep,2025-09-01,2025-03-01,-184.0,0.0,2025-03-01,5.379
Chhatisgarh,2025-10-15,2025-09-16,-29.0,0.0,2025-09-16,1.1667
Darbhanga,2025-12-16,N/A,,1.0,2025-12-16,0.0
Puttenahalli,2025-12-19,N/A,,1.0,2025-12-19,0.0
Balanagar,2025-12-13,N/A,,1.0,2025-12-13,0.0
Jaipur,2025-12-26,N/A,,1.0,2025-12-26,0.0
Madanapalle,2025-12-27,N/A,,1.0,2025-12-27,0.0
100000,2025-12-20,N/A,,2.0,2025-12-20,0.0
Nagpur,2025-12-22,N/A,,1.0,2025-12-22,0.0
Raja Annamalai Puram,2025-12-26,N/A,,1.0,2025-12-26,0.0
